DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2000,10.7,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2001,10.7,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2002,10.2,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2003,9.8,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2004,9.1,b
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2005,8.9,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2006,9.8,b
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2007,10.2,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2008,9.9,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2009,8.9,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2010,8.3,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2011,8.0,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2012,7.6,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2013,7.1,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2014,6.5,b
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2015,6.8,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2016,6.0,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2017,5.8,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2018,5.7,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2019,6.1,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2020,6.3,
ESTAT:EDAT_LFSE_16(1.0),27/09/22 23:00:00,A,PC,F,Y18-24,AT,2021,6.3,b
