DATAFLOW,LAST UPDATE,freq,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2000,4948800,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2001,5042800,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2002,4822300,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2003,4899000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2004,4963500,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2005,4582600,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2006,4638600,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2007,5129400,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2008,5182000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2009,5268000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2010,5365000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2011,5452000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2012,5537000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2013,5625000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2014,5677982,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2015,5745912,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2016,5838027,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2017,5939176,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT,2018,6048241,
